company_name,plant_name,Technology,Type,CHP,primary_fuel,secondary_fuel,installed_capacity_MW,grid_connection_type,country,Region,Postcode,os_reference,X-Coordinate,Y-Coordinate,year_commissioned
Anesco,Bourne Park ,solar,PV,No,Solar,,0.2484,LV,England,South West,DT27TU,,372107,97577,2012
Anesco,Eaton Hill ,solar,PV,No,Solar,,0.4743,LV,England,West Midlands,HR60DG,,,,2015
Anesco,Slepe Farm ,solar,PV,No,Solar,,0.4984,LV,England,South West,BH166HS,,392991,93161,2011
Anesco,Parcstormy,solar,PV,No,Solar,,0.7,LV,England,Wales,CF334RS,,,,2013
Anesco,Bristol Water,solar,PV,No,Solar,,0.80255,LV,England,South West,GL139HN,,353895,167517,2017
Anesco,Spring Lane,solar,PV,No,Solar,,0.958,LV,England,East Midlands,LE651WU,,436639,314607,2017
Anesco,Soho Farm,solar,PV,No,Solar,,1.74,LV,England,,,,,,2014
Anesco,Pierces Farm,solar,PV,No,Solar,,1.74312,LV,England,South East,RG71LY,,468119,167296,2015
Anesco,Darran,solar,PV,No,Solar,,1.823,LV,Wales,Wales,,,,,2017
Anesco,Bridgwater,solar,PV,No,Solar,,1.871,LV,England,South West,TA70HY,,,,2016
Anesco,New Kaine,solar,PV,No,Solar,,1.8748,LV,England,South East,ME97HP,,584858,166460,2015
Anesco,Barr Farm,solar,PV,No,Solar,,1.885,LV,England,,,,,,2015
Anesco,Stables,solar,PV,No,Solar,,1.966,LV,England,East Midlands,CV136EB,,440233,297103,2014
Anesco,Langley Priory,solar,PV,No,Solar,,2.036,LV,England,East Midlands,DE742QQ,,,,2015
Anesco,Wymeswold ,solar,PV,No,Solar,,2.12784,LV,England,East Midlands,LE126UA,,460007,323259,2016
Anesco,Stud Farm ,solar,PV,No,Solar,,2.36808,LV,England,East Midlands,NG228SX,,464448,361853,2016
Anesco,Bourne Park South,solar,PV,No,Solar,,2.39974,LV,England,South West,DT27TU,,372234,97408,2015
Anesco,Chalgrove,solar,PV,No,Solar,,2.402,LV,England,,,,,,2014
Anesco,Horam,solar,PV,No,Solar,,2.571,LV,England,South East,TN210JN,,556616,115760,2015
Anesco,Bae Systems Samlesbury,solar,PV,No,Solar,,2.64,LV,England,North West,BB27LF,,361989,430666,2014
Anesco,Woodtown,solar,PV,No,Solar,,2.71936,LV,England,South West,BH228SW,,409156,97807,2015
Anesco,Sandys Moor ,solar,PV,No,Solar,,2.9,LV,England,South West,TA42LY,,308509,127381,2013
Anesco,Grimsargh ,solar,PV,No,Solar,,2.91564,LV,England,North West,PR25SD,,358322,433776,2016
Anesco,Palmersford,solar,PV,No,Solar,,3.03597,LV,England,South West,BH236BG,,409981,99040,2016
Anesco,Chard,solar,PV,No,Solar,,3.043,LV,England,South West,TA201RR,,,,2016
Anesco,Milborne Port,solar,PV,No,Solar,,3.292,LV,England,South West,DT95EF,,,,2017
Anesco,Tope Farm,solar,PV,No,Solar,,3.31197,LV,England,South West,TQ97DR,,283048,52733,2014
Anesco,Coleford,solar,PV,No,Solar,,3.40272,LV,England,South West,GL168QD,,,,2016
Anesco,Wisbech,solar,PV,No,Solar,,3.40472,LV,England,Eastern,,NO633470,546000,307000,2015
Anesco,Milkwall,solar,PV,No,Solar,,3.50064,LV,England,South West,GL168QD,,,,2016
Anesco,Blisworth,solar,PV,No,Solar,,3.588,LV,England,East Midlands,NN73DA,,473113,252638,2016
Anesco,Hale,solar,PV,No,Solar,,3.599,LV,England,South West,BH236BB,,409997,97268,2015
Anesco,Brookbarn,solar,PV,No,Solar,,3.63,LV,England,South East,BN177PE,,500000,102000,2015
Anesco,Culworth ,solar,PV,No,Solar,,3.63639,LV,England,East Midlands,OX172HW,,454564,245985,2015
Anesco,Overton,solar,PV,No,Solar,,3.75232,LV,England,South East,,TF459067,450500,150500,2015
Anesco,Nether Mill,solar,PV,No,Solar,,3.765,LV,England,South West,,,,,2015
Anesco,High Meadow,solar,PV,No,Solar,,3.88752,LV,England,North East,TS211EA,,439442,521774,2016
